Outermost_loop , x_des , y_des , z_des , yaw_des , x_act , y_act , z_act , yaw_act , time , q0_act , q1_act , q2_act , q3_act
0.000000 , 0.000000 , 0.000000 , 5.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.000301 , 0.000000 , 1.000000 , 0.000001 , 0.000002 , -0.000003
0.000000 , 0.000000 , 0.000000 , 5.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.000005 , 20.000000 , 1.000000 , 0.000001 , 0.000002 , -0.000003
0.000000 , 0.000000 , 0.000000 , 5.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.000005 , 40.000000 , 1.000000 , 0.000001 , 0.000002 , -0.000003
0.000000 , 0.000000 , 0.000000 , 5.000000 , 0.000000 , 0.000000 , 0.000000 , 0.041993 , -0.000005 , 60.000000 , 1.000000 , 0.000001 , 0.000002 , -0.000003
0.000000 , 0.000000 , 0.000000 , 5.000000 , 0.000000 , 0.000000 , 0.000000 , 0.041993 , -0.000005 , 80.000000 , 1.000000 , 0.000001 , 0.000002 , -0.000003
0.000000 , 0.000000 , 0.000000 , 5.000000 , 0.000000 , 0.000000 , 0.000000 , 0.041993 , -0.000005 , 100.000000 , 1.000000 , 0.000001 , 0.000002 , -0.000003
0.000000 , 0.000000 , 0.000000 , 5.000000 , 0.000000 , 0.000000 , 0.000000 , 0.041993 , -0.000005 , 120.000000 , 1.000000 , 0.000001 , 0.000002 , -0.000003
0.000000 , 0.000000 , 0.000000 , 5.000000 , 0.000000 , 0.000000 , 0.000000 , 0.041993 , -0.000005 , 140.000000 , 1.000000 , 0.000001 , 0.000002 , -0.000003
0.000000 , 0.000000 , 0.000000 , 5.000000 , 0.000000 , 0.000000 , 0.000000 , 0.085821 , -0.000005 , 160.000000 , 1.000000 , 0.000001 , 0.000002 , -0.000003
0.000000 , 0.000000 , 0.000000 , 5.000000 , 0.000000 , 0.000000 , 0.000000 , 0.085821 , -0.000005 , 180.000000 , 1.000000 , 0.000001 , 0.000002 , -0.000003
0.000000 , 0.000000 , 0.000000 , 5.000000 , 0.000000 , 0.000000 , 0.000000 , 0.085821 , -0.000005 , 200.000000 , 1.000000 , 0.000001 , 0.000002 , -0.000003
0.000000 , 0.000000 , 0.000000 , 5.000000 , 0.000000 , 0.000000 , 0.000000 , 0.085821 , -0.000005 , 220.000000 , 1.000000 , 0.000001 , 0.000002 , -0.000003
0.000000 , 0.000000 , 0.000000 , 5.000000 , 0.000000 , 0.000000 , 0.000000 , 0.085821 , -0.000005 , 240.000000 , 1.000000 , 0.000001 , 0.000002 , -0.000003
0.000000 , 0.000000 , 0.000000 , 5.000000 , 0.000000 , 0.000000 , 0.000000 , 0.131474 , -0.000005 , 260.000000 , 1.000000 , 0.000001 , 0.000002 , -0.000003
0.000000 , 0.000000 , 0.000000 , 5.000000 , 0.000000 , 0.000000 , 0.000000 , 0.131474 , -0.000005 , 280.000000 , 1.000000 , 0.000001 , 0.000002 , -0.000003
0.000000 , 0.000000 , 0.000000 , 5.000000 , 0.000000 , 0.000000 , 0.000000 , 0.131474 , -0.000005 , 300.000000 , 1.000000 , 0.000001 , 0.000002 , -0.000003
0.000000 , 0.000000 , 0.000000 , 5.000000 , 0.000000 , 0.000000 , 0.000000 , 0.131474 , -0.000005 , 320.000000 , 1.000000 , 0.000001 , 0.000002 , -0.000003
0.000000 , 0.000000 , 0.000000 , 5.000000 , 0.000000 , 0.000000 , 0.000000 , 0.131474 , -0.000005 , 340.000000 , 1.000000 , 0.000001 , 0.000002 , -0.000003
0.000000 , 0.000000 , 0.000000 , 5.000000 , 0.000000 , 0.000000 , 0.000000 , 0.179025 , -0.000005 , 360.000000 , 1.000000 , 0.000001 , 0.000002 , -0.000003
0.000000 , 0.000000 , 0.000000 , 5.000000 , 0.000000 , 0.000000 , 0.000000 , 0.179025 , -0.000005 , 380.000000 , 1.000000 , 0.000001 , 0.000002 , -0.000003
0.000000 , 0.000000 , 0.000000 , 5.000000 , 0.000000 , 0.000000 , 0.000000 , 0.179025 , -0.000005 , 400.000000 , 1.000000 , 0.000001 , 0.000002 , -0.000003
0.000000 , 0.000000 , 0.000000 , 5.000000 , 0.000000 , 0.000000 , 0.000000 , 0.179025 , -0.000005 , 420.000000 , 1.000000 , 0.000001 , 0.000002 , -0.000003
0.000000 , 0.000000 , 0.000000 , 5.000000 , 0.000000 , 0.000000 , 0.000000 , 0.179025 , -0.000005 , 440.000000 , 1.000000 , 0.000001 , 0.000002 , -0.000003
0.000000 , 0.000000 , 0.000000 , 5.000000 , 0.000000 , 0.000000 , 0.000000 , 0.228591 , -0.000005 , 460.000000 , 1.000000 , 0.000001 , 0.000002 , -0.000003
